# Exposed-credential patterns — id<TAB>severity<TAB>ERE-regex<TAB>description
#
# Tuned against a real 210-repo scan. The first draft produced ~69 hits of which
# most were noise; each pattern below was tightened against a specific observed
# false positive:
#   * openai-key matched slugs like "sk-fans-gulf-unstoppable-army-campaign",
#     so the body may no longer contain hyphens.
#   * openai-key also matched sk-ant-* keys, double-reporting them; now excluded.
#   * aws-access-key matched base64 image data ("AKIAAAAAACKJSBSKUIFI"); low
#     entropy and the AWS docs key AKIAIOSFODNN7EXAMPLE are filtered in-script.
#   * google-api-key matched random base64 inside .svg/.jpg; binary and image
#     extensions are excluded in-script.
#
# Severity drives triage, not detection:
#   critical = secret grants access, rotate now
#   public   = matches the shape but is public by design (Firebase client keys)
github-pat-classic	critical	ghp_[A-Za-z0-9]{36}	GitHub personal access token (classic)
github-oauth	critical	gho_[A-Za-z0-9]{36}	GitHub OAuth token
github-user-refresh	critical	gh[ur]_[A-Za-z0-9]{36}	GitHub user-to-server or refresh token
github-installation	critical	ghs_[A-Za-z0-9._-]{36,}	GitHub App installation or Actions token (opaque or stateless format)
github-pat-fine	critical	github_pat_[A-Za-z0-9_]{60,}	GitHub fine-grained PAT
npm-token	critical	npm_[A-Za-z0-9]{36}	npm access token
npmrc-authtoken	critical	_authToken[[:space:]]*=[[:space:]]*[A-Za-z0-9_-]{20,}	npm _authToken in .npmrc
aws-access-key	critical	(AKIA|ASIA)[A-Z0-9]{16}	AWS access key id
aws-secret-key	critical	aws_secret_access_key[[:space:]]*=[[:space:]]*[A-Za-z0-9/+=]{40}	AWS secret access key
slack-token	critical	xox[baprs]-[0-9]{10,}-[0-9]{10,}-[A-Za-z0-9]{20,}	Slack token
stripe-live	critical	(sk|rk)_live_[A-Za-z0-9]{20,}	Stripe LIVE secret key
anthropic-key	critical	sk-ant-[A-Za-z0-9_-]{90,}	Anthropic API key
openai-key	critical	sk-proj-[A-Za-z0-9_-]{60,}	OpenAI project key
openai-key-legacy	critical	sk-[A-Za-z0-9]{48}	OpenAI legacy key (no hyphens in body)
private-key-pem	critical	-----BEGIN (RSA |EC |OPENSSH |DSA |PGP )?PRIVATE KEY-----	Private key material
git-url-creds	critical	https://[A-Za-z0-9_.-]+:[A-Za-z0-9_./+-]{8,}@(github|gitlab|bitbucket)	Credentials embedded in a git remote URL
google-api-key	review	AIza[A-Za-z0-9_-]{35}	Google API key (may be a public client key or a restricted/unrestricted server key)
