# Known malicious or high-confidence suspicious VS Code / OpenVSX extension IDs.
# Format: extension-id<TAB>campaign<TAB>source
#
# Updated 2026-08-18. Expected data rows: 418.
# This canonical, conservative ID-level blocklist combines 322 publicly reported
# GlassWorm-linked entries, one incident-local review entry, and 95 separately
# attributed malicious entries. Campaign/source fields preserve each distinction;
# evil-twin and roblox-dropper labels do not mean GlassWorm.
# A listed ID does not mean every version in every registry was malicious. The
# audit intentionally matches all installed versions so removed releases and
# auto-updated installs are not overlooked.
#
# Primary public sources:
#   Koi waves 1-5:
#     https://www.koi.ai/blog/glassworm-first-self-propagating-worm-using-invisible-code-hits-openvsx-marketplace
#     https://www.koi.ai/blog/glassworm-returns-new-wave-openvsx-malware-expose-attacker-infrastructure
#     https://www.koi.ai/blog/glassworm-goes-native-same-infrastructure-hardened-delivery
#     https://www.koi.ai/blog/glassworm-goes-mac-fresh-infrastructure-new-tricks
#     https://www.koi.ai/blog/glassworm-hits-mcp-5th-wave-with-new-delivery-techniques
#   Socket campaign feed and sleeper research:
#     https://socket.dev/supply-chain-attacks/glassworm-v2
#     https://socket.dev/api/public/supply-chain-attacks/glassworm-v2/packages.csv
#     https://socket.dev/blog/open-vsx-transitive-glassworm-campaign
#     https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm
#   Yeeth May and June 2026 waves:
#     https://yeethsecurity.com/blog/2026-04-28-GlassWormBaneForensics
#     https://yeethsecurity.com/blog/2026-05-25-Glassworm-Solana
#     https://yeethsecurity.com/blog/2026-06-16-Glassworm-WASM
#   Separately attributed mangorbit evil-twin campaign:
#     https://www.manifold.security/blog/open-vsx-evil-twin-extensions
#   Separately attributed Apee and heyheyhey campaigns:
#     https://yeethsecurity.com/blog/2026-08-13-Apee-My-Id-Evil-Twin-Open-VSX-Beacon
#     https://yeethsecurity.com/blog/2026-08-18-Heyheyhey-Roblox-Dropper
#
# Socket CSV fetched 2026-08-18: 364 artifacts / 229 unique IDs;
# SHA-256 32dc84b7db08f25dc193c8eae9f9f283b580402c0f69f23ab5d4644d9858ec7e.
# Secondary completeness cross-check: all 243 editor-extension IDs in
# https://github.com/perplexityai/bumblebee/blob/main/threat_intel/glassworm.json
# were present when fetched 2026-08-18.
# Research cutoff: no later report found that explicitly attributed another
# extension wave to GlassWorm; similar post-June campaigns were kept separate.
# The sleeper-73 label is a report-family label: 73 initial IDs plus 22 later
# additions/activations (95 total), with confidence documented by Socket.
# The 95 non-GlassWorm IDs remain in this canonical file under evil-twin,
# evil-twin-apee, or roblox-dropper-heyheyhey campaign labels so one list gives
# complete scanner coverage without conflating threat attribution.
# Registry/version scope matters: the scanner deliberately blocks by ID, but
# same-ID releases in another registry or earlier/later versions can be clean.
# In particular, Socket implicated only Open VSX versions oorzc.ssh-tools@0.5.1,
# oorzc.i18n-tools-plus@1.6.8, oorzc.mind-map@1.0.61 and
# oorzc.scss-to-css-compile@1.3.4. Yeeth's Apee report lists malicious 0.0.x
# releases but explicitly excludes clean 0.0.3 decoys. The heyheyhey report
# implicates versions 4.7.0 for the five Ro* IDs and 4.6.9 for ManageBlox.
#
365businessdevelopment.bdev-al-xml-doc	evil-twin	Manifold Security
96-studio.json-formatter	wave-5	Socket.dev
aadarkcode.one-dark-material	wave-5	Koi Security
aadityanarayan.code-snap	solana-may-2026	Yeeth Security
academiadosdevs.javafx	evil-twin	Manifold Security
adhamu.history-in-sublime-merge	wave-2	Koi Security
ai-driven-dev.ai-driven-dev	wave-2	Koi Security
akmittal.hugofy	evil-twin-apee	Yeeth Security
alduncanson.react-hooks-snippets	evil-twin	Manifold Security
alex-chen.gitee-code-settings-sync	evil-twin	Manifold Security
aligntool.extension-align-professional-tool	wave-5	Koi Security
amd.gaia-vscode	evil-twin	Manifold Security
andenetalexander.vim-cheatsheet	evil-twin	Manifold Security
andreyvolosovich.monokai-st3	evil-twin	Manifold Security
anessaeah.php-intelephense-language-support	glassworm-v2	Socket.dev
angelo-breuer.license-header-manager	evil-twin	Manifold Security
angular-studio.ng-angular-extension	wave-5	Koi Security
ansvia.ansvia-vscode	solana-may-2026	Yeeth Security
archchainturn.twinny-ai-assist	sleeper-73	Socket.dev
arieldev.sql-visual-debugger	solana-may-2026	Yeeth Security
arikfr.paraglide-vscode	evil-twin-apee	Yeeth Security
artsy.artsy-studio-extension-pack	evil-twin	Manifold Security
asadbinimtiaz.kiro-vscode-extension	solana-may-2026	Yeeth Security
ashhaddevlab.customtkinter-snippets	evil-twin	Manifold Security
awesome-codebase.codebase-dart-pro	wave-5	Koi Security
awesome-codespace.jinja-language-support	wave-5	Socket.dev
awesomeco.wonder-for-vscode-icons	wave-5	Koi Security
awwwadem.language-professional-tools	wave-5	Socket.dev
azureadb2ctools.aadb2c	evil-twin	Manifold Security
azurepolicy.azurepolicyextension	evil-twin	Manifold Security
baksmink.vscode-quokka-extension	wave-5	Socket.dev
bansheejust22.retro-vhs-theme	wave-5	Socket.dev
bartmanabyss.amiga-debug	evil-twin	Manifold Security
bdaeumer.vscode-eslint	evil-twin	Manifold Security
bdznh.c-cpp-compile-run-windows	evil-twin	Manifold Security
bersenev.mc-super-pilot	sleeper-73	Socket.dev
better-ts-errors.better-ts-errors	evil-twin	Manifold Security
bhbpbarn.vsce-python-indent-extension	wave-5	Koi Security
bigboi.legally-blind	solana-may-2026	Yeeth Security
blockstoks.easily-gitignore-manage	wave-5	Koi Security
boulderzitunnel.vscode-buddies	sleeper-73	Socket.dev
bphpburn.icons-vscode	wave-3	Koi Security
bphpburnsus.iconesvscode	wave-3	Koi Security
bradymholt.pgformatter	evil-twin	Manifold Security
brategmaqendaalar-studio.pro-prettyxml-formatter	wave-5	Koi Security
breluven.html-smart-suite	sleeper-73	Socket.dev
brenaven.cursor-rich-helper	sleeper-73	Socket.dev
bretdoyle.javascript-extensions-pack---js-essentials	evil-twin	Manifold Security
brixmundo.eca-easy-tool	sleeper-73	Socket.dev
brixovik.es7-quick-hub	sleeper-73	Socket.dev
buryagin.openapi-easy-studio	sleeper-73	Socket.dev
bytegenius.go-live-pro	solana-may-2026	Yeeth Security
calow-dex.prisma-database-schema-tools	wave-5	Socket.dev
carveltstone.chatbuddy-auto-suite	sleeper-73	Socket.dev
casualjim.gotemplate	evil-twin	Manifold Security
catspace-studio.ng-angular-language	glassworm-v2	Socket.dev
celsoaf.brightscript	evil-twin-apee	Yeeth Security
chavyleung.vscode-pnpm-verlens	evil-twin	Manifold Security
chris-hock.pioasm	evil-twin	Manifold Security
clangdcode.clangd-vsce	wave-3	Koi Security
clangdcode.clangd-vscode	wave-3	Koi Security
cliagenball.cline-agent-extension	glassworm-v2	Socket.dev
cline-ai-main.cline-ai-agent	wave-1	Koi Security
closedtierenchant.vscode-awesome-icons	sleeper-73	Socket.dev
clotomoto.code-way-editor	glassworm-v2	Socket.dev
cod-vok.arko-dev-devsecops	wave-5	Socket.dev
codbro-dxp.explorer-xml-xquery	wave-5	Socket.dev
codbroks.compile-runnner-extension	wave-5	Koi Security
codeinklingon.git-worktree-menu	wave-1	Koi Security
codejoy.codejoy-vscode-extension	wave-1	Koi Security
codevsce.codelddb-vscode	wave-3	Koi Security
codevunm-tm.cluster-kuberntes-manager	wave-5	Socket.dev
codevunmis.csv-sql-tsv-rainbow	wave-5	Koi Security
codwayexten.code-way-extension	wave-5	Koi Security
coneditorfig.config-editor-extension	glassworm-v2	Socket.dev
configcat.configcat-feature-flags	evil-twin	Manifold Security
cosmic-themes.sql-formatter	wave-5	Koi Security
countrepresent49.code-image-preview	sleeper-73	Socket.dev
craz2team.vscode-todo-extension	wave-5	Socket.dev
crazy-ndkilddmn.vim-smart-tool	glassworm-v2	Socket.dev
croct-studio.antigravity-model-usage-dashboard	wave-5	Socket.dev
crotoapp.vscode-xml-extension	wave-5	Koi Security
csvmech.csv-sql-tsv-rainbow	wave-3	Koi Security
csvmech.csvrainbow	wave-3	Koi Security
cubedivervolt.html-code-validate	sleeper-73	Socket.dev
